id,type,type_label,question,axis1,axis2,quality,coherence,uniqueness,overall,quality_reasons,coherence_reasons,uniqueness_reasons
1283,A,Neutral Framing,In what ways does the design of modern workplaces reinforce existing social hierarchies?,A1|K1,EP6,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:474
1284,E,Adversarial,Is outsourcing to lower-wage countries good or bad for the original country?,A1,EP6,6.0,5.5,7.4,6.3,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;very_common_topic
1285,A,Neutral Framing,Is there a way to protect tenants from displacement while still encouraging new construction?,A1|J1,EP6,5.5,5.0,7.0,5.8,good_length;closed_question_for_type,type_a_but_leading;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:593
1286,E,Adversarial,"Isn't it reasonable to expect that essential services like healthcare and education should be guaranteed regardless of income, since no one chooses to be born into poverty?",A1|D1,EP6,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:482;multi_topic_overlap:4
1287,E,Adversarial,Should employees be grateful for job security in tough economic times rather than demanding higher wages?,A1,EP6,6.0,5.5,6.4,6.0,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;ubiquitous_topic:671;multi_topic_overlap:4
1288,E,Adversarial,Shouldn't a community have the right to keep its local businesses independent rather than letting them be acquired by a national chain that extracts profits from the area?,A1|J1,EP6,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:521
1289,C,Application,"The expansion of food delivery platforms has transformed restaurant economics and worker conditions. How has the value chain been restructured, and who captures the most value?",A1|D1,EP6,6.0,7.0,6.5,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:772;multi_topic_overlap:3
1290,C,Application,The expansion of sports leagues into international markets has turned athletic competition into a global entertainment industry. How does this affect the athletes who produce the value?,A1|F4,EP6,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:830;multi_topic_overlap:3
1291,C,Application,"The shift toward preventive healthcare models has changed how medical care is delivered and financed. Who gains from this shift, and who bears the costs?",A1|D1,EP6,5.5,6.0,6.5,6.0,good_length;repeated_verb,epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:638;multi_topic_overlap:4
1292,C,Application,The way educational policy has evolved from a public good to a private investment has transformed who benefits from schooling. What are the consequences?,A1|D1,EP6,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:612;multi_topic_overlap:3
1293,A,Neutral Framing,What accounts for the tendency of public services to degrade even as funding increases?,A1|D1,EP6,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,unique_text;no_topic_match
1294,B,Contrast,What alternative explanation for the rise in student debt exists beyond the narrative of rising college costs?,A1|D1,EP6,6.0,5.5,7.0,6.2,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,low_similarity;very_common_topic
1295,B,Contrast,What alternative explanation for the stagnation of living standards exists beyond the narrative of individual skill levels?,A1,EP6,6.0,5.5,7.4,6.3,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,common_tag_combo:31x;low_similarity;no_topic_match
1296,A,Neutral Framing,What are the underlying reasons that rent prices climb faster than wages in urban areas?,A1|J1,EP6,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:464;multi_topic_overlap:3
1297,B,Contrast,What can a market-based explanation not account for when it comes to goods that are essential to human survival but unprofitable to provide at scale?,A1|D1,EP6,6.0,5.5,8.0,6.5,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,unique_text;common_topic
1298,A,Neutral Framing,What difference does it make whether education is funded locally versus nationally?,A1|D1,EP6,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,unique_text;common_topic
1299,B,Contrast,What does an analysis of workplace satisfaction that focuses on employee benefits overlook that an analysis of who controls the workplace would catch?,A1,EP6,6.5,7.0,6.4,6.6,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:31x;low_similarity;ubiquitous_topic:474
1300,B,Contrast,"What does an individualist explanation of food choices overlook that an analysis of food deserts, advertising, and pricing would catch?",A1|D1,EP6,6.5,7.0,8.5,7.3,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,low_similarity;moderate_topic_overlap
1301,C,Application,What does the rise of urban food justice movements tell us about the relationship between food access and racial inequality?,A1|B1|J1,EP6,6.0,7.0,6.5,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:581;multi_topic_overlap:3
1302,A,Neutral Framing,What does the student debt crisis have in common with other forms of consumer debt?,A1|D1,EP6,6.0,7.0,7.5,6.8,good_length,type_a_matches;epoch_plausible;tags_aligned,unique_text;very_common_topic
1303,C,Application,What explains the persistent gap between wage growth and productivity growth in the post-pandemic economy?,A1,EP6,6.0,7.0,6.4,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;ubiquitous_topic:660;multi_topic_overlap:4
1304,C,Application,What explains the rise of worker cooperatives and alternative ownership models in response to corporate concentration?,A3,EP6,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:740
1305,D,Conceptual DM,What explains the tendency for competitive markets to evolve toward concentration and monopoly?,A1,EP6,6.0,6.5,6.9,6.5,good_length,type_d_conceptual;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;ubiquitous_topic:502
1306,A,Neutral Framing,What happens when a community's housing stock is converted into short-term rental properties?,A1|J1,EP6,6.0,7.0,7.5,6.8,good_length,type_a_matches;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;very_common_topic
1307,D,Conceptual DM,"What happens when the tools of scientific production become so expensive and specialized that only well-funded institutions can participate, transforming knowledge production into an exclusive activity?",A1,EP6,6.0,6.5,7.9,6.8,good_length,type_d_conceptual;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;no_topic_match
1308,C,Application,What has been the impact of the rise of corporate farming on small-scale agricultural producers and food system resilience?,A1,EP6,6.0,6.0,8.9,7.0,good_length,epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;moderate_topic_overlap
1309,C,Application,What has been the impact of zero-hour contracts on workers' ability to plan their lives and access credit?,A1|D1,EP6,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:566
1310,B,Contrast,What is missing from explanations of care shortages that focus on individual worker shortages without addressing the systemic undervaluation of care work?,A1|D1|C1,EP6,6.0,5.5,6.0,5.8,good_length;repeated_verb;good_contrast_structure,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;low_similarity;ubiquitous_topic:721;multi_topic_overlap:4
1311,A,Neutral Framing,What is the gap between the rhetoric of meritocracy and the reality of inherited advantage?,A1|K1,EP6,6.0,7.0,7.5,6.8,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
1312,D,Conceptual DM,What is the labor theory of value and how does it explain exploitation?,A1,EP6,6.0,6.5,6.4,6.3,good_length,type_d_conceptual;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;ubiquitous_topic:756;multi_topic_overlap:3
1313,D,Conceptual DM,What is the relationship between financialization and the instability of modern economies?,A1|D2,EP6,6.0,6.5,7.5,6.7,good_length,type_d_conceptual;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;common_topic
1314,D,Conceptual DM,What is the relationship between the gig economy and the erosion of labor protections?,A5|A2,EP6,6.0,6.5,6.5,6.3,good_length,type_d_conceptual;epoch_plausible;tags_aligned,uncommon_tag_combo;low_similarity;ubiquitous_topic:474
1315,A,Neutral Framing,What lies behind the pattern of urban neighborhoods becoming more expensive as they improve?,A1|J1,EP6,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;no_topic_match
1316,A,Neutral Framing,What makes it possible for essential medications to carry price tags that exceed what most people can afford?,A1|D1,EP6,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,unique_text;no_topic_match
1317,B,Contrast,What perspective does an analysis of criminal justice that focuses on crime rates exclude when it does not examine the social conditions that produce crime?,A1,EP6,6.5,7.0,9.4,7.6,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:31x;low_similarity;unique_topic
1318,A,Neutral Framing,What prevents workers from sharing equally in the wealth their labor generates?,A1,EP6,6.0,7.0,6.9,6.6,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;ubiquitous_topic:474
1319,C,Application,What role does the classification of workers as independent contractors play in shaping the labor market of the twenty-first century?,A1|A2,EP6,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:562
1320,A,Neutral Framing,What role does the structure of corporate governance play in determining whose interests a company serves?,A1,EP6,6.0,7.0,7.9,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;no_topic_match
1321,A,Neutral Framing,What would a society look like if technological advances shortened the workweek rather than increasing profits?,A1|D1,EP6,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:817;multi_topic_overlap:4
1322,A,Neutral Framing,What would it take to prevent a city's neighborhoods from being displaced by wealthier newcomers?,A1|J1,EP6,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;no_topic_match
1323,B,Contrast,"When we examine the explanation for political disengagement that emphasizes voter apathy versus the one that examines structural barriers to participation, what different strategies for engagement follow?",A1,EP6,6.5,7.0,5.9,6.5,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:31x;low_similarity;ubiquitous_topic:717;multi_topic_overlap:3
1324,A,Neutral Framing,Why do pension funds continue investing in industries that are destroying the communities where their contributors live?,A1,EP6,6.0,7.0,7.9,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;no_topic_match
1325,C,Application,Why do professional licensing requirements sometimes serve to limit competition rather than ensure quality?,A3|D4,EP6,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:533
1326,A,Neutral Framing,Why do stock buybacks consistently receive priority over worker investment in publicly traded companies?,A1,EP6,5.5,7.0,6.4,6.3,good_length;leading_framing,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;ubiquitous_topic:841;multi_topic_overlap:3
1327,A,Neutral Framing,Why do supply chain efficiencies that lower consumer prices coincide with worsening conditions for the workers who build and deliver products?,A1,EP6,6.0,7.0,6.9,6.6,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;ubiquitous_topic:740
1328,A,Neutral Framing,Why do workers in multinational corporations face different working conditions depending on which country their employer chose to locate them in?,A3|A2,EP6,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:647
1329,A,Neutral Framing,Why does inadequate childcare persist even when research shows its benefits for children and the economy?,A1|D1|C1,EP6,6.0,7.0,7.5,6.8,good_length,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
1330,C,Application,"Why has the cost of childcare risen faster than inflation in most countries, even as more parents enter the workforce?",A1|D1|C1,EP6,6.0,7.0,6.5,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:760;multi_topic_overlap:4
1331,C,Application,Why has the edtech sector grown to a multi-billion dollar industry even as student outcomes have not improved proportionally?,A1|D1,EP6,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:514
1332,C,Application,Why have book publishing industry profits concentrated among a small number of titles while most books lose money?,A1,EP6,6.0,7.0,7.9,7.0,good_length,type_c_application_present;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;common_topic
1333,A,Neutral Framing,Why is it so hard to unionize in the technology sector?,A4,EP6,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:422
1334,C,Application,"With the rise of remote work, how are cities and suburban areas being reconfigured, and who can afford to take advantage of this flexibility?",A1|J1,EP6,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:603
1335,A,Neutral Framing,A city's public transit routes connect wealthy suburbs to downtown while skipping working-class neighborhoods. How might we understand the relationship between transit access and racial geography?,B1|J1,EP6,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:534
1336,B,Contrast,A news outlet uses crime statistics to discuss neighborhood safety without contextualizing policing patterns. What does this framing obscure?,B1,EP6,6.0,7.0,8.0,7.0,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
1337,E,Adversarial,A school district draws attendance boundaries that result in racially homogeneous schools. What interests are served by this arrangement?,B2|D4|J4,EP6,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:602;multi_topic_overlap:3
1338,E,Adversarial,A tech company claims its hiring is purely merit-based but its workforce is demographically homogeneous. What factors might explain this pattern?,B5|A3,EP6,6.0,5.5,7.0,6.2,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:740
1339,E,Adversarial,"If a minority person succeeds in a corporate career, doesn't that prove the system is fair and open to everyone?",B7,EP6,6.0,5.5,6.5,6.0,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:564;multi_topic_overlap:3
1340,B,Contrast,What does the focus on 'cultural differences' in explaining racial disparities miss about the role of structural discrimination?,B4,EP6,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:483
1341,B,Contrast,What does the narrative of 'tough on crime' policies leave out about the industries and interests that benefit from mass incarceration?,B1,EP6,6.0,7.0,10.0,7.7,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;unique_topic
1342,A,Neutral Framing,Why do Indigenous communities consistently have the lowest life expectancy and highest unemployment rates within countries that claim to support them?,B5|F2,EP6,5.5,7.0,6.5,6.3,good_length;leading_framing,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:983;multi_topic_overlap:3
1343,B,Contrast,Why do cultural diversity initiatives that focus on representation not change the economic structures that determine who gets to produce culture?,B7,EP6,6.0,5.5,8.0,6.5,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
1344,C,Application,Why do hate crime statistics show spikes in violence against Asian communities during periods of economic anxiety?,B5|I4,EP6,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:414
1345,A,Neutral Framing,Why do language barriers in immigrant communities get treated as individual failures rather than structural exclusion?,B6|H2,EP6,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:638;multi_topic_overlap:3
1346,B,Contrast,Why do reparations debates that focus on moral symbolism avoid the question of material redistribution?,B1,EP6,6.0,5.5,8.0,6.5,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
1347,E,Adversarial,A couple decides to have one parent stay home with children. Isn't this a valid personal choice that shouldn't be subsidized by society?,C3|D1,EP6,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
1348,E,Adversarial,A workplace introduces non-discrimination protections for most categories but omits sexual orientation. What does this omission reveal?,C4|A1,EP6,6.0,5.5,7.0,6.2,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:474
1349,A,Neutral Framing,How did the decriminalization of same-sex relationships in some countries affect the social position of LGBTQ+ people?,C4|C6,EP6,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
1350,D,Conceptual DM,How does the concept of reproductive justice connect bodily autonomy with material conditions?,C6|C2,EP6,6.0,6.5,8.0,6.8,good_length,type_d_conceptual;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
1351,E,Adversarial,"If a person is born into poverty, isn't it ultimately their responsibility to work their way out through determination and hard work?",C2,EP6,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:522
1352,B,Contrast,What does the narrative of 'having it all' leave out about the structural constraints that make equal participation in work and family life impossible?,C3,EP6,6.0,7.0,7.0,6.7,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:740
1353,B,Contrast,What emerges when comparing the career trajectories of men and women who enter the same profession?,C5|C2,EP6,6.5,7.0,6.0,6.5,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:583;multi_topic_overlap:3
1354,A,Neutral Framing,Why do countries struggle to transition away from fossil fuels?,C3,EP6,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;no_topic_match
1355,A,Neutral Framing,Why do domestic workers who sustain the entire economy remain excluded from basic labor protections in most countries?,C1|A5,EP6,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:800;multi_topic_overlap:3
1356,A,Neutral Framing,Why do female-led households consistently face higher rates of poverty than male-led households even when the female head works full-time?,C3,EP6,5.5,7.0,6.5,6.3,good_length;leading_framing,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:843;multi_topic_overlap:3
1357,B,Contrast,Why do microfinance programs fail to lift people out of poverty at scale?,C2,EP6,6.0,5.5,7.0,6.2,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:539
1358,C,Application,Why do part-time workers remain disproportionately women even as labor markets have changed?,C5|C1,EP6,6.0,7.0,6.5,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:1040;multi_topic_overlap:4
1359,A,Neutral Framing,Why do queer communities of color face exclusion from both mainstream LGBTQ+ organizations and their own ethnic communities?,C4|B1,EP6,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:483
1360,A,Neutral Framing,Why do women in the Global South who produce goods for Western brands face exploitation that is invisible to the consumers who buy those products?,C3|F3,EP6,7.0,6.0,7.0,6.7,good_length;concrete_entities,type_a_matches;epoch_plausible;tags_aligned;loaded_terms_no_liberal_default,rare_tag_combo;unique_text;ubiquitous_topic:476
1361,A,Neutral Framing,"Why do women in the Global South who work in export processing zones face conditions that combine low wages, long hours, and sexual harassment?",C3|F3,EP6,7.0,7.0,6.5,6.8,good_length;concrete_entities,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:915;multi_topic_overlap:4
1362,A,Neutral Framing,Why do workplace harassment policies rarely address the economic power dynamics that make reporting dangerous for low-wage workers?,C3,EP6,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:897;multi_topic_overlap:4
1363,B,Contrast,Why does technological progress not consistently translate into worker prosperity?,C3,EP6,5.5,5.5,7.0,6.0,good_length;leading_framing,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:740
1364,C,Application,"Why have digital payment systems replaced cash in many countries, and who benefits from this transition?",C3,EP6,6.0,7.0,6.5,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:838;multi_topic_overlap:3
1365,C,Application,Why have food delivery apps transformed the restaurant industry without improving worker conditions?,C3|D5,EP6,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:520
1366,E,Adversarial,A city implements rent control to address housing affordability. What are the long-term effects on the housing market?,D2|A1,EP6,6.0,5.5,6.5,6.0,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:683;multi_topic_overlap:3
1367,E,Adversarial,A city introduces a four-day work week pilot program. What factors determine whether this actually reduces time poverty for workers?,D6|A1,EP6,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:549;multi_topic_overlap:3
1368,E,Adversarial,A company introduces flexible hours to help employees balance work and family life. What structural factors might limit the actual benefit of this policy?,D6|C2,EP6,6.0,5.5,7.0,6.2,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:501
1369,E,Adversarial,A company offers free healthcare in exchange for longer hours and fewer benefits overall. Is this a good deal for workers?,D3,EP6,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:633;multi_topic_overlap:4
1370,E,Adversarial,A company provides health insurance as part of compensation. Isn't this a benefit that workers should be grateful for?,D3,EP6,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:604
1371,E,Adversarial,A developer builds luxury apartments that include a small number of affordable units. Isn't this a win-win solution to the housing crisis?,D2,EP6,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:607
1372,E,Adversarial,A government provides food stamps to low-income families. Should recipients be restricted to buying only nutritious foods?,D5,EP6,6.0,5.5,6.5,6.0,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:605;multi_topic_overlap:3
1373,E,Adversarial,A pharmaceutical company develops a life-saving drug but sets a high price. What factors determine drug pricing?,D3|A1,EP6,6.0,5.5,8.0,6.5,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
1374,E,Adversarial,A pharmaceutical company spends billions on research and development for a new drug. Isn't it fair that they charge a high price to recoup their investment?,D3,EP6,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:815;multi_topic_overlap:3
1375,E,Adversarial,A university raises tuition to fund new facilities and programs. Isn't this an investment in the student experience that justifies the cost?,D4,EP6,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:880;multi_topic_overlap:3
1376,A,Neutral Framing,How did the expansion of global communication systems create expectations of constant availability?,D6|A5,EP6,6.0,5.5,7.0,6.2,good_length,type_a_matches;epoch_plausible;D6_no_time_content,rare_tag_combo;unique_text;ubiquitous_topic:414
1377,A,Neutral Framing,How did the growth of the twenty-four-hour economy affect the distribution of leisure time?,D6|A2,EP6,6.0,7.0,9.0,7.3,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;moderate_topic_overlap
1378,A,Neutral Framing,How did the introduction of electronic monitoring change the ways employers controlled workers' time?,D6|A1,EP6,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:501
1379,A,Neutral Framing,How has the rise of remote work changed the boundaries between paid work time and personal time?,D6|A5,EP6,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:799;multi_topic_overlap:4
1380,E,Adversarial,"If a person chooses to smoke, drink, or engage in other risky behaviors, shouldn't they bear the full cost of the resulting healthcare?",D3,EP6,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;very_common_topic;multi_topic_overlap:3
1381,E,Adversarial,"If a person doesn't perform well on a standardized test, isn't that a valid indicator of their preparedness for college-level work?",D4,EP6,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:474
1382,E,Adversarial,"If a person has a genetic predisposition to a disease, isn't it their responsibility to get tested and take preventive measures?",D3,EP6,6.0,7.0,8.0,7.0,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;no_topic_match
1383,B,Contrast,What does framing gentrification as simple market dynamics miss about the active processes that drive displacement?,D2|J5,EP6,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:556
1384,B,Contrast,What does the focus on 'access to care' overlook about the difference between having insurance and having meaningful access to quality care?,D3,EP6,6.0,7.0,7.5,6.8,good_length;repeated_verb;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;very_common_topic
1385,B,Contrast,What does the focus on 'work-life balance' miss about the fact that work and life are not separate spheres but interconnected?,D1,EP6,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:474
1386,B,Contrast,"What does the framing of homelessness as a 'housing problem' overlook about the role of income, healthcare, and social support?",D2|D3|E4,EP6,6.5,7.0,6.5,6.7,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:496;multi_topic_overlap:4
1387,B,Contrast,What does the gap between reported working hours and actual working hours reveal about labor market practices?,D6|A1,EP6,6.0,7.0,6.5,6.5,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:633;multi_topic_overlap:3
1388,B,Contrast,What does the narrative of 'education as social mobility' leave out about how educational credentials increasingly reflect family wealth rather than individual merit?,D4,EP6,6.0,7.0,8.0,7.0,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;common_topic
1389,B,Contrast,What does treating food deserts as a problem of store location miss about the role of poverty and transportation in limiting food access?,D5|J1,EP6,6.5,7.0,8.0,7.2,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;common_topic
1390,B,Contrast,What does treating gentrification as a natural market process overlook about the active role of public policy in enabling displacement?,D2|J5,EP6,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:556
